title,actor,writer,genre,country,director,rating,score,year,release,runtime
The Trouble with Spies,Donald Sutherland,Burt Kennedy,Action,USA,Burt Kennedy,PG-13,4,1987,4-12-1987,91
Harry and the Hendersons,John Lithgow,William Dear,Comedy,USA,William Dear,PG,5.9,1987,5-6-1987,110
The Stepfather,Terry O'Quinn,Carolyn Lefcourt,Horror,UK,Joseph Ruben,R,6.8,1987,5-6-1987,89
Cyclone,Heather Thomas,Paul Garson,Action,USA,Fred Olen Ray,R,4.4,1987,5-6-1987,89
Benji the Hunted,Red Steagall,Joe Camp,Adventure,USA,Joe Camp,G,6.3,1987,5-6-1987,88
Stakeout,Richard Dreyfuss,Jim Kouf,Action,USA,John Badham,R,6.6,1987,5-8-1987,117
Platoon,Charlie Sheen,Oliver Stone,Drama,UK,Oliver Stone,R,8.1,1986,6-2-1987,120
Black Widow,Debra Winger,Ronald Bass,Crime,USA,Bob Rafelson,R,6.3,1987,6-2-1987,102
Light of Day,Michael J. Fox,Paul Schrader,Drama,USA,Paul Schrader,PG-13,5.5,1987,6-2-1987,107
Dead of Winter,Mary Steenburgen,Marc Shmuger,Drama,USA,Arthur Penn,R,6.3,1987,6-2-1987,100
From the Hip,Judd Nelson,Bob Clark,Comedy,USA,Bob Clark,PG,6.2,1987,6-2-1987,111
Lethal Weapon,Mel Gibson,Shane Black,Action,USA,Richard Donner,R,7.6,1987,6-3-1987,110
Angel Heart,Mickey Rourke,William Hjortsberg,Horror,UK,Alan Parker,R,7.3,1987,6-3-1987,113
Hunk,John Allen Nelson,Lawrence Bassoff,Comedy,USA,Lawrence Bassoff,PG,4.6,1987,6-3-1987,102
Less Than Zero,Andrew McCarthy,Bret Easton Ellis,Crime,USA,Marek Kanievska,R,6.4,1987,6-11-1987,98
Cry Freedom,Denzel Washington,John Briley,Biography,UK,Richard Attenborough,PG,7.5,1987,6-11-1987,157
Death Wish 4: The Crackdown,Charles Bronson,Brian Garfield,Action,USA,J. Lee Thompson,R,5.3,1987,6-11-1987,99
Hiding Out,Jon Cryer,Joe Menosky,Comedy,USA,Bob Giraldi,PG-13,6.4,1987,6-11-1987,98
Made in Heaven,Timothy Hutton,Bruce A. Evans,Comedy,USA,Alan Rudolph,PG,6.5,1987,6-11-1987,100
Dark Eyes,Marcello Mastroianni,Aleksandr Adabashyan,Comedy,Italy,Nikita Mikhalkov,Not specified,7.6,1987,6-11-1987,117
Hello Again,Shelley Long,Susan Isaacs,Comedy,USA,Frank Perry,PG,5.1,1987,6-11-1987,96
Russkies,Whip Hubley,Sheldon Lettich,Drama,USA,Rick Rosenthal,PG,5.6,1987,6-11-1987,100
Masters of the Universe,Dolph Lundgren,David Odell,Action,USA,Gary Goddard,PG,5.4,1987,7-8-1987,106
Who's That Girl,Madonna,Andrew Smith,Comedy,USA,James Foley,PG,4.7,1987,7-8-1987,92
Back to the Beach,Frankie Avalon,James Komack,Comedy,USA,Lyndall Hobbs,PG,5.8,1987,7-8-1987,92
Nadine,Jeff Bridges,Robert Benton,Comedy,USA,Robert Benton,PG,5.5,1987,7-8-1987,83
River's Edge,Crispin Glover,Neal Jimenez,Crime,USA,Tim Hunter,R,7.1,1986,8-5-1987,99
Prick Up Your Ears,Gary Oldman,Alan Bennett,Biography,UK,Stephen Frears,R,7.4,1987,8-5-1987,105
Hot Pursuit,John Cusack,Steven Lisberger,Comedy,USA,Steven Lisberger,PG-13,5.8,1987,8-5-1987,93
Gardens of Stone,James Caan,Nicholas Proffitt,Drama,USA,Francis Ford Coppola,R,6.4,1987,8-5-1987,111
Prison,Lane Smith,Irwin Yablans,Crime,USA,Renny Harlin,R,5.9,1987,8-12-1987,102
Meatballs III: Summer Job,Sally Kellerman,Janis Allen,Comedy,Canada,George Mendeluk,R,3.3,1986,9-1-1987,96
Assassination,Charles Bronson,Richard Sale,Action,USA,Peter R. Hunt,PG-13,5.1,1987,9-1-1987,88
Steele Justice,Sela Ward,Robert Boris,Action,USA,Robert Boris,R,4.8,1987,9-7-1987,95
The Princess Bride,Cary Elwes,William Goldman,Adventure,USA,Rob Reiner,PG,8.1,1987,9-10-1987,98
Three O'Clock High,Casey Siemaszko,Richard Christian Matheson,Comedy,USA,Phil Joanou,PG-13,7.2,1987,9-10-1987,97
Someone to Watch Over Me,Tom Berenger,Howard Franklin,Crime,USA,Ridley Scott,R,6.1,1987,9-10-1987,106
Surrender,Sally Field,Jerry Belson,Comedy,USA,Jerry Belson,PG,5.4,1987,9-10-1987,105
Gothic,Gabriel Byrne,Lord Byron,Horror,UK,Ken Russell,R,5.7,1986,10-4-1987,87
The Secret of My Succe$s,Michael J. Fox,Jim Cash,Comedy,USA,Herbert Ross,PG-13,6.5,1987,10-4-1987,111
