title,actor,writer,genre,country,director,rating,score,year,release,runtime
Velvet Goldmine,Ewan McGregor,James Lyons,Drama,UK,Todd Haynes,R,7,1998,10-23-1998,118
Pleasantville,Tobey Maguire,Gary Ross,Comedy,USA,Gary Ross,PG-13,7.5,1998,10-23-1998,124
Soldier,Kurt Russell,David Webb Peoples,Action,UK,Paul W.S. Anderson,R,6,1998,10-23-1998,99
Apt Pupil,Ian McKellen,Stephen King,Crime,USA,Bryan Singer,R,6.7,1998,10-23-1998,111
Show Me Love,Alexandra Dahlström,Lukas Moodysson,Comedy,Sweden,Lukas Moodysson,UNRATED,7.6,1998,10-23-1998,89
Cirque du Freak: The Vampire's Assistant,Chris Massoglia,Paul Weitz,Action,USA,Paul Weitz,PG-13,5.9,2009,10-23-2009,100
El juego del miedo VI,Tobin Bell,Patrick Melton,Horror,Canada,Kevin Greutert,R,6,2009,10-23-2009,90
Astro Boy,Freddie Highmore,Osamu Tezuka,Animation,Hong Kong,David Bowers,PG,6.3,2009,10-23-2009,94
Amelia,Hilary Swank,Ronald Bass,Adventure,USA,Mira Nair,PG,5.8,2009,10-23-2009,111
[Rec] 2,Jonathan D. Mellor,Jaume Balagueró,Horror,Spain,Jaume Balagueró,R,6.6,2009,10-23-2009,85
The Canyon,Eion Bailey,Steve Allrich,Thriller,USA,Richard Harrah,R,5.9,2009,10-23-2009,100
Una buena mentira,Reese Witherspoon,Margaret Nagle,Drama,Kenya,Philippe Falardeau,PG-13,7.4,2014,10-23-2014,110
Steve Jobs,Michael Fassbender,Aaron Sorkin,Biography,UK,Danny Boyle,R,7.2,2015,10-23-2015,122
The Last Witch Hunter,Vin Diesel,Cory Goodman,Action,USA,Breck Eisner,PG-13,6,2015,10-23-2015,106
Jem and the Holograms,Aubrey Peeples,Ryan Landels,Adventure,USA,Jon M. Chu,PG,4.1,2015,10-23-2015,118
Paranormal Activity: The Ghost Dimension,Chris J. Murray,Jason Pagan,Horror,USA,Gregory Plotkin,R,4.6,2015,10-23-2015,88
Rock the Kasbah,Bill Murray,Mitch Glazer,Comedy,USA,Barry Levinson,R,5.5,2015,10-23-2015,106
From Beyond,Jeffrey Combs,H.P. Lovecraft,Horror,USA,Stuart Gordon,R,6.7,1986,10-24-1986,86
Soul Man,C. Thomas Howell,Carol Black,Comedy,USA,Steve Miner,PG-13,5.2,1986,10-24-1986,104
Trick or Treat,Marc Price,Rhet Topham,Comedy,USA,Charles Martin Smith,R,5.8,1986,10-24-1986,98
Johnny Stecchino,Roberto Benigni,Roberto Benigni,Comedy,Italy,Roberto Benigni,R,7.2,1991,10-24-1991,102
Gattaca,Ethan Hawke,Andrew Niccol,Drama,USA,Andrew Niccol,PG-13,7.8,1997,10-24-1997,106
A Life Less Ordinary,Cameron Diaz,John Hodge,Comedy,UK,Danny Boyle,R,6.4,1997,10-24-1997,103
FairyTale: A True Story,Paul McGann,Albert Ash,Drama,UK,Charles Sturridge,PG,6.5,1997,10-24-1997,99
Bones,Snoop Dogg,Adam Simon,Crime,USA,Ernest R. Dickerson,R,4.1,2001,10-24-2001,96
The Safety of Objects,Glenn Close,A.M. Homes,Drama,UK,Rose Troche,R,6.6,2001,10-24-2003,121
Scary Movie 3,Anna Faris,Craig Mazin,Comedy,USA,David Zucker,PG-13,5.5,2003,10-24-2003,84
Más allá de las fronteras,Clive Owen,Caspian Tredwell-Owen,Adventure,Germany,Martin Campbell,R,6.5,2003,10-24-2003,127
Wonderland,Val Kilmer,James Cox,Crime,Canada,James Cox,R,6.6,2003,10-24-2003,104
Radio,Cuba Gooding Jr.,Mike Rich,Biography,USA,Michael Tollin,PG,6.9,2003,10-24-2003,109
Saw V,Scott Patterson,Patrick Melton,Horror,USA,David Hackl,R,5.8,2008,10-24-2008,92
High School Musical 3: Senior Year,Zac Efron,Peter Barsocchini,Comedy,USA,Kenny Ortega,G,4.6,2008,10-24-2008,112
Pride and Glory,Edward Norton,Joe Carnahan,Crime,USA,Gavin O'Connor,R,6.7,2008,10-24-2008,130
Passengers,Anne Hathaway,Ronnie Christensen,Drama,USA,Rodrigo García,PG-13,5.9,2008,10-24-2008,93
Jimi: All Is by My Side,André Benjamin,John Ridley,Biography,Ireland,John Ridley,R,5.7,2013,10-24-2014,118
John Wick,Keanu Reeves,Derek Kolstad,Action,USA,Chad Stahelski,R,7.3,2014,10-24-2014,101
St. Vincent,Bill Murray,Theodore Melfi,Comedy,USA,Theodore Melfi,PG-13,7.3,2014,10-24-2014,102
Ouija,Olivia Cooke,Juliet Snowden,Horror,Japan,Stiles White,PG-13,4.5,2014,10-24-2014,89
Laggies,Keira Knightley,Andrea Seigel,Comedy,USA,Lynn Shelton,R,6.4,2014,10-24-2014,99
Two Evil Eyes,Adrienne Barbeau,Dario Argento,Horror,Italy,Dario Argento,R,6.1,1990,10-25-1991,120
Curly Sue,Jim Belushi,John Hughes,Comedy,USA,John Hughes,PG,5.7,1991,10-25-1991,101
The Butcher's Wife,Demi Moore,Ezra Litwak,Comedy,USA,Terry Hughes,PG-13,5.3,1991,10-25-1991,107
The Hitman,Chuck Norris,Robert Geoffrion,Action,USA,Aaron Norris,R,5.3,1991,10-25-1991,95
Thinner,Joe Mantegna,Stephen King,Fantasy,USA,Tom Holland,R,5.7,1996,10-25-1996,93
Michael Collins,Liam Neeson,Neil Jordan,Biography,UK,Neil Jordan,R,7.1,1996,10-25-1996,133
High School High,Jon Lovitz,David Zucker,Comedy,USA,Hart Bochner,PG-13,5.5,1996,10-25-1996,86
Twelfth Night or What You Will,Helena Bonham Carter,William Shakespeare,Comedy,Ireland,Trevor Nunn,PG,7.3,1996,10-25-1996,134
To Gillian on Her 37th Birthday,Peter Gallagher,Michael Brady,Drama,USA,Michael Pressman,PG-13,5.8,1996,10-25-1996,93
The Associate,Whoopi Goldberg,Jenaro Prieto,Comedy,USA,Donald Petrie,PG-13,6.1,1996,10-25-1996,114
The Sunchaser,Woody Harrelson,Charles Leavitt,Crime,USA,Michael Cimino,R,6.2,1996,10-25-1996,122
Ghost Ship,Julianna Margulies,Mark Hanlon,Horror,USA,Steve Beck,R,5.5,2002,10-25-2002,91
Paid in Full,Mekhi Phifer,Azie Faison Jr.,Action,USA,Charles Stone III,R,7.1,2002,10-25-2002,97
The Truth About Charlie,Mark Wahlberg,Peter Stone,Mystery,Germany,Jonathan Demme,PG-13,4.8,2002,10-25-2002,104
Universal Soldier: Day of Reckoning,Jean-Claude Van Damme,John Hyams,Action,USA,John Hyams,R,5,2012,10-25-2012,114
The Counsellor,Michael Fassbender,Cormac McCarthy,Crime,UK,Ridley Scott,R,5.3,2013,10-25-2013,117
Adore,Naomi Watts,Anne Fontaine,Drama,Australia,Anne Fontaine,R,6.2,2013,10-25-2013,100
We Are What We Are,Bill Sage,Nick Damici,Drama,USA,Jim Mickle,R,5.9,2013,10-25-2013,105
Bad Grandpa,Johnny Knoxville,Johnny Knoxville,Comedy,USA,Jeff Tremaine,R,6.5,2013,10-25-2013,92
Ida,Agata Kulesza,Pawel Pawlikowski,Drama,Poland,Pawel Pawlikowski,PG-13,7.4,2013,10-25-2013,82
The Hot Spot,Don Johnson,Charles Williams,Crime,USA,Dennis Hopper,R,6.4,1990,10-26-1990,130
Graveyard Shift,David Andrews,Stephen King,Horror,USA,Ralph S. Singleton,R,4.8,1990,10-26-1990,89
White Palace,Susan Sarandon,Glenn Savan,Drama,USA,Luis Mandoki,R,6.5,1990,10-26-1990,103
Sibling Rivalry,Kirstie Alley,Martha Goldhirsh,Comedy,USA,Carl Reiner,PG-13,5.4,1990,10-26-1990,87
Soultaker,Joe Estevez,Vivian Schilling,Fantasy,USA,Michael Rissi,R,2.3,1990,10-26-1990,94
My New Gun,Diane Lane,Stacy Cochran,Comedy,USA,Stacy Cochran,R,5.6,1992,10-26-1992,99
The Last Seduction,Linda Fiorentino,Steve Barancik,Crime,UK,John Dahl,R,7.1,1994,10-26-1994,110
Donnie Darko,Jake Gyllenhaal,Richard Kelly,Drama,USA,Richard Kelly,R,8.1,2001,10-26-2001,113
Thir13en Ghosts,Tony Shalhoub,Robb White,Horror,USA,Steve Beck,R,5.6,2001,10-26-2001,91
K-PAX,Kevin Spacey,Gene Brewer,Drama,USA,Iain Softley,PG-13,7.4,2001,10-26-2001,120
Secret Ballot,Nassim Abdi,Mohsen Makhmalbaf,Comedy,Iran,Babak Payami,G,6.7,2001,10-26-2001,100
Ashoka the Great,Shah Rukh Khan,Saket Chaudhary,Action,India,Santosh Sivan,R,6.7,2001,10-26-2001,169
On the Line,Lance Bass,Eric Aronson,Comedy,USA,Eric Bross,PG,4.1,2001,10-26-2001,85
The Darjeeling Limited,Owen Wilson,Wes Anderson,Adventure,USA,Wes Anderson,R,7.2,2007,10-26-2007,91
Saw IV,Tobin Bell,Patrick Melton,Horror,USA,Darren Lynn Bousman,R,5.9,2007,10-26-2007,93
Dan in Real Life,Steve Carell,Pierce Gardner,Comedy,USA,Peter Hedges,PG-13,6.8,2007,10-26-2007,98
Before the Devil Knows You're Dead,Philip Seymour Hoffman,Kelly Masterson,Crime,USA,Sidney Lumet,R,7.3,2007,10-26-2007,117
Youth Without Youth,Tim Roth,Mircea Eliade,Drama,USA,Francis Ford Coppola,R,6.3,2007,10-26-2007,124
"Lust, Caution",Tony Chiu-Wai Leung,Eileen Chang,Drama,USA,Ang Lee,NC-17,7.6,2007,10-26-2007,157
Cloud Atlas,Tom Hanks,David Mitchell,Action,Germany,Tom Tykwer,R,7.5,2012,10-26-2012,172
Terror en Silent Hill 2: la revelación,Adelaide Clemens,Michael J. Bassett,Adventure,Canada,Michael J. Bassett,R,5,2012,10-26-2012,95
Chasing Mavericks,Jonny Weston,Kario Salem,Biography,USA,Michael Apted,PG,7.2,2012,10-26-2012,100
Fun Size,Victoria Justice,Max Werner,Adventure,USA,Josh Schwartz,PG-13,5.4,2012,10-26-2012,86
The Bear,Tchéky Karyo,James Oliver Curwood,Adventure,France,Jean-Jacques Annaud,PG,7.7,1988,10-27-1989,96
Shocker,Michael Murphy,Wes Craven,Comedy,USA,Wes Craven,R,5.4,1989,10-27-1989,109
Kill Me Again,Val Kilmer,John Dahl,Action,USA,John Dahl,R,6.3,1989,10-27-1989,94
Lisa,Staci Keanan,Gary Sherman,Drama,USA,Gary Sherman,PG-13,5.9,1989,10-27-1989,95
Worth Winning,Mark Harmon,Dan Lewandowski,Comedy,USA,Will Mackenzie,PG-13,6,1989,10-27-1989,103
Immediate Family,Glenn Close,Barbara Benedek,Drama,USA,Jonathan Kaplan,PG-13,6.1,1989,10-27-1989,95
Powder,Mary Steenburgen,Victor Salva,Drama,USA,Victor Salva,PG-13,6.6,1995,10-27-1995,111
Copycat,Sigourney Weaver,Ann Biderman,Drama,USA,Jon Amiel,R,6.6,1995,10-27-1995,123
Vampire in Brooklyn,Eddie Murphy,Eddie Murphy,Comedy,USA,Wes Craven,R,4.5,1995,10-27-1995,100
The Doom Generation,James Duval,Gregg Araki,Action,USA,Gregg Araki,R,6,1995,10-27-1995,83
Beyond the Clouds,Fanny Ardant,Tonino Guerra,Drama,France,Michelangelo Antonioni,NOT RATED,6.5,1995,10-27-1995,112
Three Wishes,Patrick Swayze,Clifford Green,Drama,USA,Martha Coolidge,PG,6.2,1995,10-27-1995,115
Humanité,Emmanuel Schotté,Bruno Dumont,Drama,France,Bruno Dumont,Not specified,6.9,1999,10-27-1999,148
The Little Vampire,Jonathan Lipnicki,Angela Sommer-Bodenburg,Adventure,Germany,Uli Edel,PG,5.7,2000,10-27-2000,95
Book of Shadows: Blair Witch 2,Jeffrey Donovan,Daniel Myrick,Adventure,USA,Joe Berlinger,R,4,2000,10-27-2000,90
The Yards,Mark Wahlberg,James Gray,Crime,USA,James Gray,R,6.4,2000,10-27-2000,115
Lucky Numbers,John Travolta,Adam Resnick,Comedy,France,Nora Ephron,R,5,2000,10-27-2000,105
Sophie Scholl: The Final Days,Julia Jentsch,Fred Breinersdorfer,Biography,Germany,Marc Rothemund,NOT RATED,7.7,2005,10-27-2006,120
Saw III,Tobin Bell,Leigh Whannell,Horror,USA,Darren Lynn Bousman,R,6.2,2006,10-27-2006,108
Running with Scissors,Joseph Cross,Ryan Murphy,Comedy,USA,Ryan Murphy,R,6.2,2006,10-27-2006,122
A Good Old Fashioned Orgy,Jason Sudeikis,Alex Gregory,Comedy,USA,Alex Gregory,R,6.2,2011,10-27-2011,95
Feds,Rebecca De Mornay,Len Blum,Comedy,USA,Daniel Goldberg,PG-13,5.3,1988,10-28-1988,90
Stargate: la puerta del tiempo,Kurt Russell,Dean Devlin,Action,France,Roland Emmerich,PG-13,7.1,1994,10-28-1994,116
The Road to Wellville,Anthony Hopkins,T. Coraghessan Boyle,Comedy,USA,Alan Parker,R,5.8,1994,10-28-1994,118
Silent Fall,Richard Dreyfuss,Akiva Goldsman,Drama,USA,Bruce Beresford,R,5.9,1994,10-28-1994,100
Squanto: A Warrior's Tale,Adam Beach,Darlene Craviotto,Adventure,USA,Xavier Koller,PG,6.1,1994,10-28-1994,102
Saw II,Donnie Wahlberg,Leigh Whannell,Horror,USA,Darren Lynn Bousman,R,6.6,2005,10-28-2005,93
The Legend of Zorro,Antonio Banderas,Roberto Orci,Action,USA,Martin Campbell,PG,5.9,2005,10-28-2005,129
Prime,Uma Thurman,Ben Younger,Comedy,USA,Ben Younger,PG-13,6.2,2005,10-28-2005,105
The Weather Man,Nicolas Cage,Steve Conrad,Comedy,USA,Gore Verbinski,R,6.6,2005,10-28-2005,102
In Time,Justin Timberlake,Andrew Niccol,Action,USA,Andrew Niccol,PG-13,6.7,2011,10-28-2011,109
The Rum Diary,Johnny Depp,Bruce Robinson,Comedy,USA,Bruce Robinson,R,6.2,2011,10-28-2011,120
Puss in Boots,Antonio Banderas,Tom Wheeler,Animation,USA,Chris Miller,PG,6.7,2011,10-28-2011,90
Inferno,Tom Hanks,Dan Brown,Action,USA,Ron Howard,PG-13,6.2,2016,10-28-2016,121
Ruby Cairo,Andie MacDowell,Robert Dillon,Mystery,USA,Graeme Clifford,PG-13,5,1992,10-29-1993,100
The Nightmare Before Christmas,Danny Elfman,Tim Burton,Animation,USA,Henry Selick,PG,8,1993,10-29-1993,76
The Joy Luck Club,Tamlyn Tomita,Amy Tan,Drama,USA,Wayne Wang,R,7.6,1993,10-29-1993,139
Fatal Instinct,Armand Assante,David O'Malley,Comedy,USA,Carl Reiner,PG-13,5.7,1993,10-29-1993,91
House on Haunted Hill,Geoffrey Rush,Robb White,Horror,USA,William Malone,R,5.6,1999,10-29-1999,93
Music of the Heart,Meryl Streep,Pamela Gray,Drama,USA,Wes Craven,PG,6.8,1999,10-29-1999,124
The Winslow Boy,Rebecca Pidgeon,Terence Rattigan,Drama,UK,David Mamet,G,7.4,1999,10-29-1999,104
Saw,Cary Elwes,Leigh Whannell,Horror,USA,James Wan,R,7.7,2004,10-29-2004,103
Ray,Jamie Foxx,Taylor Hackford,Biography,USA,Taylor Hackford,PG-13,7.7,2004,10-29-2004,152
Birth,Nicole Kidman,Jean-Claude Carrière,Drama,UK,Jonathan Glazer,R,6.1,2004,10-29-2004,100
Stage Beauty,Billy Crudup,Jeffrey Hatcher,Drama,UK,Richard Eyre,R,7.2,2004,10-29-2004,106
Saw 3D: The Final Chapter,Tobin Bell,Patrick Melton,Horror,Canada,Kevin Greutert,R,5.6,2010,10-29-2010,90
Gimme Shelter,Vanessa Hudgens,Ron Krauss,Drama,USA,Ron Krauss,PG-13,6.5,2013,10-29-2014,100
The Dressmaker,Kate Winslet,Rosalie Ham,Comedy,Australia,Jocelyn Moorhouse,R,7.1,2015,10-29-2015,119
Down by Law,Tom Waits,Jim Jarmusch,Comedy,USA,Jim Jarmusch,R,7.8,1986,10-30-1986,107
Baby Boom,Diane Keaton,Nancy Meyers,Comedy,USA,Charles Shyer,PG,6.1,1987,10-30-1987,110
The Hidden,Kyle MacLachlan,Jim Kouf,Action,USA,Jack Sholder,R,7,1987,10-30-1987,96
Aria,John Hurt,Robert Altman,Comedy,UK,Robert Altman,R,5.8,1987,10-30-1987,90
Fatal Beauty,Whoopi Goldberg,Bill Svanoe,Action,USA,Tom Holland,R,5.3,1987,10-30-1987,104
Sammy and Rosie Get Laid,Shashi Kapoor,Hanif Kureishi,Comedy,UK,Stephen Frears,Not specified,6.7,1987,10-30-1987,101
Close-Up,Mohsen Makhmalbaf,Abbas Kiarostami,Biography,Iran,Abbas Kiarostami,NOT RATED,8.3,1990,10-30-1991,98
Rampage,Michael Biehn,William P. Wood,Drama,USA,William Friedkin,R,6.3,1987,10-30-1992,97
Van Gogh,Jacques Dutronc,Maurice Pialat,Biography,France,Maurice Pialat,R,7.3,1991,10-30-1992,158
A River Runs Through It,Craig Sheffer,Norman Maclean,Drama,USA,Robert Redford,PG,7.3,1992,10-30-1992,123
The Lover,Jane March,Marguerite Duras,Biography,France,Jean-Jacques Annaud,R,6.9,1992,10-30-1992,115
Waterland,Jeremy Irons,Graham Swift,Drama,UK,Stephen Gyllenhaal,R,6.7,1992,10-30-1992,95
A Single Girl,Virginie Ledoyen,Jérôme Beaujour,Drama,France,Benoît Jacquot,TV-MA,7.2,1995,10-30-1996,90
Vampires,James Woods,John Steakley,Action,USA,John Carpenter,R,6.1,1998,10-30-1998,108
The Mighty,Kieran Culkin,Rodman Philbrick,Comedy,USA,Peter Chelsom,PG-13,7.3,1998,10-30-1998,100
I Want You,Rachel Weisz,Eoin McNamee,Crime,UK,Michael Winterbottom,R,6.3,1998,10-30-1998,87
West Beirut,Rami Doueiri,Ziad Doueiri,Comedy,France,Ziad Doueiri,PG-13,7.8,1998,10-30-1998,105
Burnt,Bradley Cooper,Steven Knight,Comedy,USA,John Wells,R,6.6,2015,10-30-2015,101
Scouts Guide to the Zombie Apocalypse,Tye Sheridan,Carrie Lee Wilson,Action,USA,Christopher Landon,R,6.3,2015,10-30-2015,93
Our Brand Is Crisis,Sandra Bullock,Peter Straughan,Comedy,USA,David Gordon Green,R,6.1,2015,10-30-2015,107
Conspiración y poder,Cate Blanchett,James Vanderbilt,Biography,Australia,James Vanderbilt,R,6.8,2015,10-30-2015,125
The Mission,Robert De Niro,Robert Bolt,Adventure,UK,Roland Joffé,PG,7.5,1986,10-31-1986,125
Children of a Lesser God,William Hurt,Mark Medoff,Drama,USA,Randa Haines,R,7.2,1986,10-31-1986,119
Let's Get Harry,Michael Schoeffling,Mark Feldberg,Action,USA,Stuart Rosenberg,R,5.2,1986,10-31-1986,102
Sky Bandits,Scott McGinnis,Thom Keyes,Action,UK,Zoran Perisic,PG,4.6,1986,10-31-1986,100
Mr. Toad's Wild Ride,Steve Coogan,Terry Jones,Adventure,UK,Terry Jones,PG,6.3,1996,10-31-1997,88
Boogie Nights,Mark Wahlberg,Paul Thomas Anderson,Drama,USA,Paul Thomas Anderson,R,7.9,1997,10-31-1997,155
Switchback,Danny Glover,Jeb Stuart,Crime,USA,Jeb Stuart,R,6.4,1997,10-31-1997,118
Red Corner,Richard Gere,Robert King,Crime,USA,Jon Avnet,R,6.3,1997,10-31-1997,122
Buffalo Soldiers,Joaquin Phoenix,Robert O'Connor,Comedy,UK,Gregor Jordan,R,6.9,2001,10-31-2002,98
Open Hearts,Sonja Richter,Anders Thomas Jensen,Drama,Denmark,Susanne Bier,R,7.6,2002,10-31-2003,113
The Human Stain,Anthony Hopkins,Philip Roth,Drama,Germany,Robert Benton,R,6.3,2003,10-31-2003,106
Tierra de osos,Joaquin Phoenix,Tab Murphy,Animation,USA,Aaron Blaise,G,6.8,2003,10-31-2003,85
In the Cut,Meg Ryan,Jane Campion,Mystery,UK,Jane Campion,R,5.3,2003,10-31-2003,119
Sylvia,Gwyneth Paltrow,John Brownlow,Biography,UK,Christine Jeffs,R,6.3,2003,10-31-2003,110
RocknRolla,Gerard Butler,Guy Ritchie,Action,UK,Guy Ritchie,R,7.3,2008,10-31-2008,114
Zack and Miri Make a Porno,Seth Rogen,Kevin Smith,Comedy,USA,Kevin Smith,R,6.6,2008,10-31-2008,101
Changeling,Angelina Jolie,J. Michael Straczynski,Biography,USA,Clint Eastwood,R,7.8,2008,10-31-2008,141
What Just Happened,Robert De Niro,Art Linson,Comedy,USA,Barry Levinson,R,5.7,2008,10-31-2008,104
The Haunting of Molly Hartley,Haley Bennett,John Travis,Drama,USA,Mickey Liddell,PG-13,3.9,2008,10-31-2008,82
Nightcrawler,Jake Gyllenhaal,Dan Gilroy,Crime,USA,Dan Gilroy,R,7.9,2014,10-31-2014,118
Before I Go to Sleep,Nicole Kidman,Rowan Joffe,Drama,UK,Rowan Joffe,R,6.3,2014,10-31-2014,92
Saving Grace,Tom Conti,Celia Gittelson,Comedy,USA,Robert M. Young,PG,7,1986,11-13-1986,112
The Running Man,Arnold Schwarzenegger,Stephen King,Action,USA,Paul Michael Glaser,R,6.6,1987,11-13-1987,101
Prom Night II,Lisa Schrage,Ron Oliver,Horror,Canada,Bruce Pittman,R,5.6,1987,11-13-1987,97
Cross My Heart,Martin Short,Armyan Bernstein,Comedy,USA,Armyan Bernstein,R,5.7,1987,11-13-1987,90
Bram Stoker's Dracula,Gary Oldman,Bram Stoker,Horror,USA,Francis Ford Coppola,R,7.5,1992,11-13-1992,128
Love Potion No. 9,Tate Donovan,Dale Launer,Comedy,USA,Dale Launer,PG-13,5.6,1992,11-13-1992,92
Contra viento y marea,Emily Watson,Lars von Trier,Drama,Denmark,Lars von Trier,R,7.9,1996,11-13-1996,159
Meet Joe Black,Brad Pitt,Ron Osborn,Drama,USA,Martin Brest,PG-13,7.1,1998,11-13-1998,178
I Still Know What You Did Last Summer,Jennifer Love Hewitt,Lois Duncan,Horror,USA,Danny Cannon,R,4.6,1998,11-13-1998,100
I'll Be Home for Christmas,Jonathan Taylor Thomas,Tom Nursall,Comedy,USA,Arlene Sanford,PG,5.4,1998,11-13-1998,86
Dancing at Lughnasa,Meryl Streep,Brian Friel,Drama,Ireland,Pat O'Connor,PG,6.3,1998,11-13-1998,95
Spider,Ralph Fiennes,Patrick McGrath,Drama,Canada,David Cronenberg,R,6.8,2002,11-13-2002,98
Fireflies in the Garden,Ryan Reynolds,Robert Frost,Drama,USA,Dennis Lee,R,6.5,2008,11-13-2009,99
2012,John Cusack,Roland Emmerich,Action,USA,Roland Emmerich,PG-13,5.8,2009,11-13-2009,158
Pirate Radio,Philip Seymour Hoffman,Richard Curtis,Comedy,UK,Richard Curtis,R,7.4,2009,11-13-2009,135
Los 33,Antonio Banderas,Mikko Alanne,Biography,Chile,Patricia Riggen,PG-13,6.9,2015,11-13-2015,127
Love the Coopers,Steve Martin,Steven Rogers,Comedy,USA,Jessie Nelson,PG-13,5.7,2015,11-13-2015,107
Every Time We Say Goodbye,Tom Hanks,Moshé Mizrahi,Drama,Israel,Moshé Mizrahi,PG-13,5.9,1986,11-14-1986,95
Willy/Milly,Pamela Adlon,Alan Friedman,Comedy,USA,Paul Schneider,PG-13,5.7,1986,11-14-1986,86
The Decline of the American Empire,Dominique Michel,Denys Arcand,Comedy,Canada,Denys Arcand,R,7.3,1986,11-14-1986,101
Streets of Gold,Klaus Maria Brandauer,Dezsö Magyar,Drama,USA,Joe Roth,R,6,1986,11-14-1986,95
Wired to Kill,Emily Longstreth,Francis Schaeffer,Action,USA,Francis Schaeffer,R,4.2,1986,11-14-1986,86
Europa Europa,Solomon Perel,Paul Hengge,Drama,Germany,Agnieszka Holland,R,7.7,1990,11-14-1990,112
Flirting,Noah Taylor,John Duigan,Drama,Australia,John Duigan,R,7.3,1991,11-14-1992,99
The Knife,Peter Coyote,Rubem Fonseca,Drama,Brazil,Walter Salles,R,6.2,1991,11-14-1992,104
The Jackal,Bruce Willis,Kenneth Ross,Action,USA,Michael Caton-Jones,R,6.4,1997,11-14-1997,124
The Man Who Knew Too Little,Bill Murray,Robert Farrar,Action,USA,Jon Amiel,PG,6.6,1997,11-14-1997,94
One Night Stand,Wesley Snipes,Mike Figgis,Drama,USA,Mike Figgis,R,5.8,1997,11-14-1997,102
The Wash,Dr. Dre,DJ Pooh,Comedy,USA,DJ Pooh,R,4.7,2001,11-14-2001,100
L.I.E.,Brian Cox,Stephen M. Ryder,Crime,USA,Michael Cuesta,R,7.2,2001,11-14-2003,97
Love Actually,Hugh Grant,Richard Curtis,Comedy,UK,Richard Curtis,R,7.7,2003,11-14-2003,135
Master and Commander: The Far Side of the World,Russell Crowe,Patrick O'Brian,Action,USA,Peter Weir,PG-13,7.4,2003,11-14-2003,138
The Brown Bunny,Vincent Gallo,Vincent Gallo,Drama,USA,Vincent Gallo,NOT RATED,5,2003,11-14-2003,93
Elephant,Elias McConnell,Gus Van Sant,Crime,USA,Gus Van Sant,R,7.2,2003,11-14-2003,81
Looney Tunes: Back in Action,Brendan Fraser,Larry Doyle,Animation,Germany,Joe Dante,PG,5.7,2003,11-14-2003,100
The Singing Detective,Robert Downey Jr.,Dennis Potter,Comedy,USA,Keith Gordon,R,5.6,2003,11-14-2003,109
The Visual Bible: The Gospel of John,Henry Ian Cusick,John Goldsmith,Biography,Canada,Philip Saville,PG-13,7.7,2003,11-14-2003,180
Quantum of Solace,Daniel Craig,Paul Haggis,Action,UK,Marc Forster,PG-13,6.6,2008,11-14-2008,106
Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,Alejandro González Iñárritu,Comedy,USA,Alejandro González Iñárritu,R,7.8,2014,11-14-2014,119
Dumb and Dumber To,Jim Carrey,Sean Anders,Adventure,USA,Bobby Farrelly,PG-13,5.7,2014,11-14-2014,109
Saving Christmas,Kirk Cameron,Darren Doane,Comedy,USA,Darren Doane,PG,1.5,2014,11-14-2014,79
Beyond the Lights,Gugu Mbatha-Raw,Gina Prince-Bythewood,Drama,USA,Gina Prince-Bythewood,PG-13,6.9,2014,11-14-2014,116
Cape Fear,Robert De Niro,John D. MacDonald,Crime,USA,Martin Scorsese,R,7.3,1991,11-15-1991,128
Kafka,Jeremy Irons,Lem Dobbs,Drama,France,Steven Soderbergh,PG-13,6.9,1991,11-15-1991,98
And You Thought Your Parents Were Weird,Joshua John Miller,Tony Cookson,Comedy,USA,Tony Cookson,PG,4.5,1991,11-15-1991,92
City of Hope,Vincent Spano,John Sayles,Crime,USA,John Sayles,R,7.4,1991,11-15-1991,129
Space Jam,Michael Jordan,Leo Benvenuti,Animation,USA,Joe Pytka,PG,6.3,1996,11-15-1996,88
The Mirror Has Two Faces,Barbra Streisand,André Cayatte,Comedy,USA,Barbra Streisand,PG-13,6.5,1996,11-15-1996,126
Code Unknown,Juliette Binoche,Michael Haneke,Drama,France,Michael Haneke,NOT RATED,7.2,2000,11-15-2000,118
The Experiment,Moritz Bleibtreu,Mario Giordano,Drama,Germany,Oliver Hirschbiegel,R,7.8,2001,11-15-2002,114
Harry Potter and the Chamber of Secrets,Daniel Radcliffe,J.K. Rowling,Adventure,UK,Chris Columbus,PG,7.4,2002,11-15-2002,161
Half Past Dead,Morris Chestnut,Don Michael Paul,Action,USA,Don Michael Paul,PG-13,4.6,2002,11-15-2002,98
Dom Hemingway,Jude Law,Richard Shepard,Comedy,UK,Richard Shepard,R,6.2,2013,11-15-2013,93
The Best Man Holiday,Monica Calhoun,Malcolm D. Lee,Comedy,USA,Malcolm D. Lee,R,6.7,2013,11-15-2013,123
Home Alone,Macaulay Culkin,John Hughes,Comedy,USA,Chris Columbus,PG,7.5,1990,11-16-1990,103
Rocky V,Sylvester Stallone,Sylvester Stallone,Drama,USA,John G. Avildsen,PG-13,5.2,1990,11-16-1990,104
The Rescuers Down Under,Bob Newhart,Jim Cox,Animation,USA,Hendel Butoy,G,6.9,1990,11-16-1990,100
The Crossing Guard,Jack Nicholson,Sean Penn,Drama,USA,Sean Penn,R,6.3,1995,11-16-1995,111
